stock,profitPct,totalTrades,winRate,avgWinpct,avgLosspct,expentancypct,profitFactor
RTNINDIA_minute,-0.24,60,0.45,1.99,-2.07,-0.24,0.79
ROUTE_minute,-0.24,51,0.41,1.46,-1.38,-0.21,0.77
NHPC_minute,-0.24,56,0.43,1.82,-1.79,-0.24,0.79
KPITTECH_minute,-0.25,75,0.44,1.22,-1.46,-0.28,0.67
CHOLAHLDNG_minute,-0.25,45,0.42,1.61,-1.66,-0.28,0.71
JUBLINGREA_minute,-0.25,46,0.43,2.3,-2.07,-0.17,0.85
CYIENT_minute,-0.25,50,0.46,1.73,-1.97,-0.27,0.78
LTTS_minute,-0.26,39,0.49,0.85,-1.31,-0.26,0.62
JKCEMENT_minute,-0.26,46,0.37,1.36,-1.22,-0.26,0.68
JBCHEPHARM_minute,-0.26,36,0.42,1.1,-1.24,-0.26,0.63
CGCL_minute,-0.26,55,0.4,1.54,-1.45,-0.25,0.73
ENDURANCE_minute,-0.26,37,0.46,1.33,-1.62,-0.27,0.7
PNCINFRA_minute,-0.26,51,0.41,2.46,-1.99,-0.16,0.87
BASF_minute,-0.26,54,0.54,2.05,-2.63,-0.12,0.98
VGUARD_minute,-0.27,71,0.46,1.16,-1.54,-0.29,0.69
IRCTC_minute,-0.27,45,0.38,1.54,-1.36,-0.27,0.69
KOTAKBANK_minute,-0.27,21,0.43,0.64,-0.95,-0.27,0.51
PNB_minute,-0.27,43,0.53,1.61,-2.36,-0.24,0.78
ASIANPAINT_minute,-0.27,25,0.44,0.86,-1.17,-0.28,0.58
INOXWIND_minute,-0.27,76,0.43,2.25,-2.22,-0.28,0.82
CELLO_minute,-0.27,50,0.48,1.31,-1.69,-0.25,0.71
